54: constrained_branching='1', dom_opt='0', f_clique_lb='7', f_clique_lb_c='17', f_deg2='18', f_deg2_heur='38', f_deg3='72', f_dom='52', f_lp='28', f_lp_lb='33', f_lp_lb_c='7', lb_opt='1', lb_opt_c='0', limit_kern_branch='191', limit_kern_start='457'
55: constrained_branching='1', dom_opt='1', f_clique_lb='16', f_clique_lb_c='2', f_deg2='90', f_deg2_heur='71', f_deg3='13', f_dom='5', f_lp='82', f_lp_lb='94', f_lp_lb_c='11', lb_opt='0', lb_opt_c='0', limit_kern_branch='139', limit_kern_start='359'
56: constrained_branching='0', dom_opt='1', f_clique_lb='20', f_clique_lb_c='6', f_deg2='56', f_deg2_heur='28', f_deg3='32', f_dom='26', f_lp='66', f_lp_lb='85', f_lp_lb_c='18', lb_opt='0', lb_opt_c='0', limit_kern_branch='49', limit_kern_start='126'
57: constrained_branching='1', dom_opt='0', f_clique_lb='79', f_clique_lb_c='6', f_deg2='63', f_deg2_heur='54', f_deg3='97', f_dom='85', f_lp='96', f_lp_lb='12', f_lp_lb_c='2', lb_opt='1', lb_opt_c='0', limit_kern_branch='109', limit_kern_start='183'
58: constrained_branching='1', dom_opt='0', f_clique_lb='31', f_clique_lb_c='18', f_deg2='51', f_deg2_heur='35', f_deg3='2', f_dom='49', f_lp='89', f_lp_lb='100', f_lp_lb_c='13', lb_opt='0', lb_opt_c='1', limit_kern_branch='317', limit_kern_start='499'
59: constrained_branching='0', dom_opt='0', f_clique_lb='83', f_clique_lb_c='10', f_deg2='84', f_deg2_heur='61', f_deg3='19', f_dom='32', f_lp='22', f_lp_lb='48', f_lp_lb_c='4', lb_opt='0', lb_opt_c='1', limit_kern_branch='382', limit_kern_start='229'
60: constrained_branching='1', dom_opt='0', f_clique_lb='31', f_clique_lb_c='18', f_deg2='90', f_deg2_heur='35', f_deg3='2', f_dom='49', f_lp='89', f_lp_lb='60', f_lp_lb_c='13', lb_opt='0', lb_opt_c='1', limit_kern_branch='317', limit_kern_start='499'
61: constrained_branching='1', dom_opt='1', f_clique_lb='41', f_clique_lb_c='19', f_deg2='34', f_deg2_heur='41', f_deg3='66', f_dom='33', f_lp='21', f_lp_lb='90', f_lp_lb_c='14', lb_opt='1', lb_opt_c='1', limit_kern_branch='94', limit_kern_start='210'
62: constrained_branching='1', dom_opt='1', f_clique_lb='2', f_clique_lb_c='13', f_deg2='17', f_deg2_heur='91', f_deg3='11', f_dom='36', f_lp='26', f_lp_lb='11', f_lp_lb_c='10', lb_opt='0', lb_opt_c='1', limit_kern_branch='253', limit_kern_start='421'
63: constrained_branching='1', dom_opt='1', f_clique_lb='62', f_clique_lb_c='2', f_deg2='90', f_deg2_heur='62', f_deg3='13', f_dom='5', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='0', lb_opt_c='0', limit_kern_branch='139', limit_kern_start='325'
64: constrained_branching='0', dom_opt='1', f_clique_lb='20', f_clique_lb_c='13', f_deg2='83', f_deg2_heur='75', f_deg3='93', f_dom='63', f_lp='17', f_lp_lb='55', f_lp_lb_c='18', lb_opt='1', lb_opt_c='1', limit_kern_branch='153', limit_kern_start='375'
65: constrained_branching='1', dom_opt='1', f_clique_lb='16', f_clique_lb_c='2', f_deg2='90', f_deg2_heur='74', f_deg3='13', f_dom='5', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='1', lb_opt_c='0', limit_kern_branch='139', limit_kern_start='334'
66: constrained_branching='1', dom_opt='1', f_clique_lb='72', f_clique_lb_c='14', f_deg2='54', f_deg2_heur='38', f_deg3='10', f_dom='51', f_lp='81', f_lp_lb='90', f_lp_lb_c='20', lb_opt='1', lb_opt_c='0', limit_kern_branch='177', limit_kern_start='46'
67: constrained_branching='1', dom_opt='0', f_clique_lb='77', f_clique_lb_c='5', f_deg2='57', f_deg2_heur='6', f_deg3='100', f_dom='21', f_lp='7', f_lp_lb='2', f_lp_lb_c='18', lb_opt='1', lb_opt_c='0', limit_kern_branch='353', limit_kern_start='432'
68: constrained_branching='1', dom_opt='0', f_clique_lb='79', f_clique_lb_c='7', f_deg2='70', f_deg2_heur='72', f_deg3='97', f_dom='85', f_lp='96', f_lp_lb='12', f_lp_lb_c='2', lb_opt='0', lb_opt_c='1', limit_kern_branch='100', limit_kern_start='183'
69: constrained_branching='1', dom_opt='1', f_clique_lb='100', f_clique_lb_c='10', f_deg2='84', f_deg2_heur='61', f_deg3='16', f_dom='75', f_lp='81', f_lp_lb='31', f_lp_lb_c='5', lb_opt='1', lb_opt_c='1', limit_kern_branch='153', limit_kern_start='320'
70: constrained_branching='1', dom_opt='1', f_clique_lb='1', f_clique_lb_c='15', f_deg2='80', f_deg2_heur='38', f_deg3='23', f_dom='20', f_lp='75', f_lp_lb='91', f_lp_lb_c='4', lb_opt='1', lb_opt_c='1', limit_kern_branch='34', limit_kern_start='156'
71: constrained_branching='0', dom_opt='0', f_clique_lb='26', f_clique_lb_c='19', f_deg2='62', f_deg2_heur='68', f_deg3='63', f_dom='15', f_lp='28', f_lp_lb='32', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='397', limit_kern_start='210'
72: constrained_branching='0', dom_opt='1', f_clique_lb='4', f_clique_lb_c='12', f_deg2='26', f_deg2_heur='22', f_deg3='81', f_dom='55', f_lp='52', f_lp_lb='81', f_lp_lb_c='13', lb_opt='1', lb_opt_c='0', limit_kern_branch='66', limit_kern_start='383'
73: constrained_branching='1', dom_opt='0', f_clique_lb='83', f_clique_lb_c='10', f_deg2='84', f_deg2_heur='61', f_deg3='19', f_dom='32', f_lp='22', f_lp_lb='48', f_lp_lb_c='4', lb_opt='0', lb_opt_c='1', limit_kern_branch='382', limit_kern_start='229'
74: constrained_branching='1', dom_opt='0', f_clique_lb='50', f_clique_lb_c='12', f_deg2='43', f_deg2_heur='24', f_deg3='3', f_dom='85', f_lp='36', f_lp_lb='70', f_lp_lb_c='17', lb_opt='1', lb_opt_c='1', limit_kern_branch='111', limit_kern_start='112'
75: constrained_branching='0', dom_opt='0', f_clique_lb='16', f_clique_lb_c='2', f_deg2='90', f_deg2_heur='39', f_deg3='13', f_dom='5', f_lp='94', f_lp_lb='94', f_lp_lb_c='11', lb_opt='1', lb_opt_c='1', limit_kern_branch='139', limit_kern_start='248'
76: constrained_branching='1', dom_opt='0', f_clique_lb='99', f_clique_lb_c='19', f_deg2='13', f_deg2_heur='31', f_deg3='86', f_dom='1', f_lp='73', f_lp_lb='63', f_lp_lb_c='18', lb_opt='1', lb_opt_c='1', limit_kern_branch='88', limit_kern_start='262'
77: constrained_branching='0', dom_opt='1', f_clique_lb='27', f_clique_lb_c='19', f_deg2='45', f_deg2_heur='19', f_deg3='11', f_dom='12', f_lp='13', f_lp_lb='91', f_lp_lb_c='18', lb_opt='1', lb_opt_c='1', limit_kern_branch='18', limit_kern_start='45'
78: constrained_branching='1', dom_opt='1', f_clique_lb='3', f_clique_lb_c='5', f_deg2='90', f_deg2_heur='74', f_deg3='13', f_dom='33', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='1', lb_opt_c='0', limit_kern_branch='139', limit_kern_start='325'
79: constrained_branching='1', dom_opt='1', f_clique_lb='33', f_clique_lb_c='1', f_deg2='4', f_deg2_heur='49', f_deg3='40', f_dom='7', f_lp='17', f_lp_lb='83', f_lp_lb_c='2', lb_opt='1', lb_opt_c='0', limit_kern_branch='414', limit_kern_start='500'
80: constrained_branching='1', dom_opt='1', f_clique_lb='3', f_clique_lb_c='5', f_deg2='90', f_deg2_heur='74', f_deg3='13', f_dom='33', f_lp='98', f_lp_lb='94', f_lp_lb_c='12', lb_opt='0', lb_opt_c='0', limit_kern_branch='139', limit_kern_start='325'
81: constrained_branching='1', dom_opt='1', f_clique_lb='84', f_clique_lb_c='4', f_deg2='18', f_deg2_heur='61', f_deg3='29', f_dom='52', f_lp='89', f_lp_lb='42', f_lp_lb_c='14', lb_opt='0', lb_opt_c='0', limit_kern_branch='489', limit_kern_start='438'
82: constrained_branching='1', dom_opt='1', f_clique_lb='3', f_clique_lb_c='2', f_deg2='90', f_deg2_heur='74', f_deg3='13', f_dom='5', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='1', lb_opt_c='0', limit_kern_branch='139', limit_kern_start='250'
83: constrained_branching='0', dom_opt='0', f_clique_lb='37', f_clique_lb_c='19', f_deg2='79', f_deg2_heur='22', f_deg3='64', f_dom='95', f_lp='88', f_lp_lb='57', f_lp_lb_c='12', lb_opt='1', lb_opt_c='0', limit_kern_branch='385', limit_kern_start='62'
