70: constrained_branching='0', dom_opt='0', f_clique_lb='14554', f_deg2='10083', f_deg2_heur='39818', f_deg3='22869', f_dom='7472', f_lp='27232', f_lp_lb='27513', limit_kern_branch='17367', limit_kern_start='18800'
71: constrained_branching='1', dom_opt='1', f_clique_lb='11624', f_deg2='37427', f_deg2_heur='6105', f_deg3='28255', f_dom='20350', f_lp='7780', f_lp_lb='3502', limit_kern_branch='8654', limit_kern_start='16522'
72: constrained_branching='1', dom_opt='1', f_clique_lb='25570', f_deg2='28310', f_deg2_heur='4847', f_deg3='19654', f_dom='32300', f_lp='17263', f_lp_lb='5686', limit_kern_branch='151', limit_kern_start='37801'
73: constrained_branching='0', dom_opt='0', f_clique_lb='10889', f_deg2='29220', f_deg2_heur='25004', f_deg3='31891', f_dom='26100', f_lp='21440', f_lp_lb='33657', limit_kern_branch='30208', limit_kern_start='32322'
74: constrained_branching='1', dom_opt='1', f_clique_lb='38464', f_deg2='9602', f_deg2_heur='33301', f_deg3='2529', f_dom='17702', f_lp='34540', f_lp_lb='14710', limit_kern_branch='31840', limit_kern_start='22233'
75: constrained_branching='1', dom_opt='1', f_clique_lb='28549', f_deg2='36085', f_deg2_heur='10793', f_deg3='17911', f_dom='3628', f_lp='7051', f_lp_lb='2143', limit_kern_branch='5573', limit_kern_start='32117'
76: constrained_branching='1', dom_opt='0', f_clique_lb='39742', f_deg2='16954', f_deg2_heur='931', f_deg3='11468', f_dom='30693', f_lp='19982', f_lp_lb='15369', limit_kern_branch='25214', limit_kern_start='38710'
77: constrained_branching='1', dom_opt='0', f_clique_lb='15954', f_deg2='22236', f_deg2_heur='19589', f_deg3='19965', f_dom='7490', f_lp='1632', f_lp_lb='6480', limit_kern_branch='36877', limit_kern_start='35894'
78: constrained_branching='1', dom_opt='0', f_clique_lb='6643', f_deg2='8785', f_deg2_heur='28463', f_deg3='24881', f_dom='6302', f_lp='34428', f_lp_lb='24046', limit_kern_branch='3864', limit_kern_start='22759'
79: constrained_branching='1', dom_opt='0', f_clique_lb='19466', f_deg2='17241', f_deg2_heur='26531', f_deg3='19063', f_dom='31716', f_lp='9806', f_lp_lb='26693', limit_kern_branch='38329', limit_kern_start='33537'
80: constrained_branching='1', dom_opt='1', f_clique_lb='25570', f_deg2='34237', f_deg2_heur='4847', f_deg3='19654', f_dom='32300', f_lp='18946', f_lp_lb='5686', limit_kern_branch='151', limit_kern_start='35643'
81: constrained_branching='1', dom_opt='0', f_clique_lb='36878', f_deg2='37718', f_deg2_heur='8616', f_deg3='16668', f_dom='9979', f_lp='36032', f_lp_lb='9867', limit_kern_branch='644', limit_kern_start='20388'
82: constrained_branching='1', dom_opt='1', f_clique_lb='25570', f_deg2='28310', f_deg2_heur='4847', f_deg3='6755', f_dom='21027', f_lp='19065', f_lp_lb='5686', limit_kern_branch='1835', limit_kern_start='37801'
83: constrained_branching='1', dom_opt='0', f_clique_lb='14802', f_deg2='5659', f_deg2_heur='9567', f_deg3='117', f_dom='6085', f_lp='37422', f_lp_lb='17701', limit_kern_branch='37510', limit_kern_start='37096'
84: constrained_branching='1', dom_opt='1', f_clique_lb='38464', f_deg2='9602', f_deg2_heur='33301', f_deg3='18374', f_dom='10026', f_lp='34540', f_lp_lb='14710', limit_kern_branch='31840', limit_kern_start='22233'
