1: constrained_branching='1', dom_opt='1', f_clique_lb='3', f_clique_lb_c='3', f_deg2='1', f_deg2_heur='1', f_deg3='2', f_dom='2', f_lp='3', f_lp_lb='3', f_lp_lb_c='3', lb_opt='1', lb_opt_c='1', limit_kern_branch='500', limit_kern_start='500'
355: constrained_branching='1', dom_opt='1', f_clique_lb='59', f_clique_lb_c='15', f_deg2='8', f_deg2_heur='63', f_deg3='54', f_dom='31', f_lp='20', f_lp_lb='81', f_lp_lb_c='6', lb_opt='1', lb_opt_c='1', limit_kern_branch='308', limit_kern_start='3'
356: constrained_branching='1', dom_opt='1', f_clique_lb='96', f_clique_lb_c='11', f_deg2='69', f_deg2_heur='64', f_deg3='13', f_dom='35', f_lp='17', f_lp_lb='22', f_lp_lb_c='9', lb_opt='1', lb_opt_c='0', limit_kern_branch='55', limit_kern_start='262'
357: constrained_branching='0', dom_opt='1', f_clique_lb='98', f_clique_lb_c='2', f_deg2='18', f_deg2_heur='5', f_deg3='89', f_dom='37', f_lp='28', f_lp_lb='30', f_lp_lb_c='7', lb_opt='0', lb_opt_c='1', limit_kern_branch='265', limit_kern_start='38'
358: constrained_branching='0', dom_opt='1', f_clique_lb='49', f_clique_lb_c='5', f_deg2='19', f_deg2_heur='87', f_deg3='100', f_dom='27', f_lp='13', f_lp_lb='100', f_lp_lb_c='13', lb_opt='0', lb_opt_c='0', limit_kern_branch='168', limit_kern_start='322'
359: constrained_branching='0', dom_opt='0', f_clique_lb='48', f_clique_lb_c='5', f_deg2='77', f_deg2_heur='56', f_deg3='90', f_dom='97', f_lp='1', f_lp_lb='38', f_lp_lb_c='19', lb_opt='1', lb_opt_c='0', limit_kern_branch='286', limit_kern_start='441'
360: constrained_branching='1', dom_opt='0', f_clique_lb='97', f_clique_lb_c='15', f_deg2='73', f_deg2_heur='70', f_deg3='89', f_dom='15', f_lp='74', f_lp_lb='28', f_lp_lb_c='1', lb_opt='1', lb_opt_c='0', limit_kern_branch='265', limit_kern_start='365'
361: constrained_branching='0', dom_opt='1', f_clique_lb='91', f_clique_lb_c='8', f_deg2='98', f_deg2_heur='83', f_deg3='54', f_dom='77', f_lp='11', f_lp_lb='85', f_lp_lb_c='20', lb_opt='1', lb_opt_c='0', limit_kern_branch='125', limit_kern_start='110'
362: constrained_branching='0', dom_opt='1', f_clique_lb='17', f_clique_lb_c='5', f_deg2='22', f_deg2_heur='5', f_deg3='82', f_dom='42', f_lp='31', f_lp_lb='64', f_lp_lb_c='11', lb_opt='0', lb_opt_c='1', limit_kern_branch='251', limit_kern_start='126'
363: constrained_branching='1', dom_opt='0', f_clique_lb='97', f_clique_lb_c='12', f_deg2='73', f_deg2_heur='70', f_deg3='89', f_dom='15', f_lp='74', f_lp_lb='28', f_lp_lb_c='1', lb_opt='1', lb_opt_c='1', limit_kern_branch='349', limit_kern_start='195'
364: constrained_branching='1', dom_opt='1', f_clique_lb='17', f_clique_lb_c='8', f_deg2='80', f_deg2_heur='39', f_deg3='38', f_dom='84', f_lp='30', f_lp_lb='39', f_lp_lb_c='16', lb_opt='0', lb_opt_c='1', limit_kern_branch='423', limit_kern_start='46'
365: constrained_branching='1', dom_opt='1', f_clique_lb='78', f_clique_lb_c='6', f_deg2='90', f_deg2_heur='15', f_deg3='81', f_dom='87', f_lp='73', f_lp_lb='37', f_lp_lb_c='16', lb_opt='0', lb_opt_c='1', limit_kern_branch='452', limit_kern_start='230'
366: constrained_branching='1', dom_opt='1', f_clique_lb='19', f_clique_lb_c='13', f_deg2='73', f_deg2_heur='83', f_deg3='41', f_dom='73', f_lp='23', f_lp_lb='32', f_lp_lb_c='4', lb_opt='1', lb_opt_c='1', limit_kern_branch='323', limit_kern_start='442'
367: constrained_branching='1', dom_opt='1', f_clique_lb='57', f_clique_lb_c='7', f_deg2='75', f_deg2_heur='57', f_deg3='39', f_dom='22', f_lp='31', f_lp_lb='6', f_lp_lb_c='13', lb_opt='0', lb_opt_c='0', limit_kern_branch='386', limit_kern_start='222'
368: constrained_branching='0', dom_opt='0', f_clique_lb='66', f_clique_lb_c='1', f_deg2='55', f_deg2_heur='41', f_deg3='81', f_dom='65', f_lp='17', f_lp_lb='11', f_lp_lb_c='2', lb_opt='0', lb_opt_c='1', limit_kern_branch='483', limit_kern_start='74'
369: constrained_branching='0', dom_opt='1', f_clique_lb='49', f_clique_lb_c='5', f_deg2='47', f_deg2_heur='87', f_deg3='82', f_dom='27', f_lp='13', f_lp_lb='85', f_lp_lb_c='13', lb_opt='0', lb_opt_c='0', limit_kern_branch='236', limit_kern_start='322'
370: constrained_branching='1', dom_opt='0', f_clique_lb='63', f_clique_lb_c='7', f_deg2='98', f_deg2_heur='36', f_deg3='64', f_dom='34', f_lp='87', f_lp_lb='86', f_lp_lb_c='1', lb_opt='0', lb_opt_c='1', limit_kern_branch='274', limit_kern_start='363'
371: constrained_branching='0', dom_opt='1', f_clique_lb='29', f_clique_lb_c='10', f_deg2='38', f_deg2_heur='43', f_deg3='91', f_dom='47', f_lp='40', f_lp_lb='84', f_lp_lb_c='9', lb_opt='0', lb_opt_c='1', limit_kern_branch='337', limit_kern_start='461'
372: constrained_branching='0', dom_opt='1', f_clique_lb='14', f_clique_lb_c='15', f_deg2='94', f_deg2_heur='9', f_deg3='84', f_dom='73', f_lp='19', f_lp_lb='23', f_lp_lb_c='7', lb_opt='0', lb_opt_c='1', limit_kern_branch='327', limit_kern_start='225'
373: constrained_branching='0', dom_opt='1', f_clique_lb='22', f_clique_lb_c='10', f_deg2='38', f_deg2_heur='43', f_deg3='85', f_dom='47', f_lp='71', f_lp_lb='93', f_lp_lb_c='10', lb_opt='0', lb_opt_c='1', limit_kern_branch='337', limit_kern_start='461'
374: constrained_branching='0', dom_opt='1', f_clique_lb='7', f_clique_lb_c='9', f_deg2='55', f_deg2_heur='48', f_deg3='61', f_dom='56', f_lp='59', f_lp_lb='39', f_lp_lb_c='20', lb_opt='1', lb_opt_c='0', limit_kern_branch='497', limit_kern_start='29'
375: constrained_branching='1', dom_opt='0', f_clique_lb='76', f_clique_lb_c='1', f_deg2='55', f_deg2_heur='68', f_deg3='68', f_dom='84', f_lp='84', f_lp_lb='20', f_lp_lb_c='8', lb_opt='1', lb_opt_c='0', limit_kern_branch='420', limit_kern_start='216'
376: constrained_branching='1', dom_opt='0', f_clique_lb='55', f_clique_lb_c='19', f_deg2='35', f_deg2_heur='89', f_deg3='54', f_dom='83', f_lp='74', f_lp_lb='46', f_lp_lb_c='14', lb_opt='0', lb_opt_c='1', limit_kern_branch='175', limit_kern_start='494'
377: constrained_branching='0', dom_opt='0', f_clique_lb='100', f_clique_lb_c='18', f_deg2='53', f_deg2_heur='90', f_deg3='55', f_dom='55', f_lp='35', f_lp_lb='64', f_lp_lb_c='19', lb_opt='0', lb_opt_c='1', limit_kern_branch='250', limit_kern_start='254'
378: constrained_branching='0', dom_opt='0', f_clique_lb='24', f_clique_lb_c='7', f_deg2='19', f_deg2_heur='24', f_deg3='87', f_dom='41', f_lp='99', f_lp_lb='63', f_lp_lb_c='13', lb_opt='0', lb_opt_c='1', limit_kern_branch='252', limit_kern_start='86'
379: constrained_branching='0', dom_opt='1', f_clique_lb='7', f_clique_lb_c='9', f_deg2='55', f_deg2_heur='48', f_deg3='61', f_dom='56', f_lp='59', f_lp_lb='39', f_lp_lb_c='17', lb_opt='1', lb_opt_c='1', limit_kern_branch='497', limit_kern_start='29'
380: constrained_branching='1', dom_opt='1', f_clique_lb='59', f_clique_lb_c='5', f_deg2='8', f_deg2_heur='4', f_deg3='74', f_dom='49', f_lp='89', f_lp_lb='94', f_lp_lb_c='13', lb_opt='1', lb_opt_c='1', limit_kern_branch='146', limit_kern_start='250'
381: constrained_branching='0', dom_opt='1', f_clique_lb='57', f_clique_lb_c='7', f_deg2='75', f_deg2_heur='57', f_deg3='36', f_dom='22', f_lp='31', f_lp_lb='6', f_lp_lb_c='13', lb_opt='0', lb_opt_c='0', limit_kern_branch='386', limit_kern_start='222'
382: constrained_branching='0', dom_opt='0', f_clique_lb='32', f_clique_lb_c='1', f_deg2='77', f_deg2_heur='79', f_deg3='7', f_dom='36', f_lp='95', f_lp_lb='68', f_lp_lb_c='6', lb_opt='0', lb_opt_c='1', limit_kern_branch='31', limit_kern_start='26'
383: constrained_branching='1', dom_opt='0', f_clique_lb='72', f_clique_lb_c='8', f_deg2='62', f_deg2_heur='1', f_deg3='64', f_dom='43', f_lp='26', f_lp_lb='32', f_lp_lb_c='12', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='167'
384: constrained_branching='0', dom_opt='1', f_clique_lb='58', f_clique_lb_c='17', f_deg2='79', f_deg2_heur='30', f_deg3='15', f_dom='78', f_lp='49', f_lp_lb='10', f_lp_lb_c='12', lb_opt='1', lb_opt_c='0', limit_kern_branch='272', limit_kern_start='109'
385: constrained_branching='1', dom_opt='0', f_clique_lb='74', f_clique_lb_c='11', f_deg2='83', f_deg2_heur='75', f_deg3='14', f_dom='73', f_lp='64', f_lp_lb='38', f_lp_lb_c='10', lb_opt='0', lb_opt_c='0', limit_kern_branch='153', limit_kern_start='93'
386: constrained_branching='1', dom_opt='0', f_clique_lb='21', f_clique_lb_c='12', f_deg2='65', f_deg2_heur='47', f_deg3='62', f_dom='100', f_lp='55', f_lp_lb='38', f_lp_lb_c='1', lb_opt='0', lb_opt_c='0', limit_kern_branch='191', limit_kern_start='63'
387: constrained_branching='0', dom_opt='1', f_clique_lb='7', f_clique_lb_c='7', f_deg2='55', f_deg2_heur='48', f_deg3='61', f_dom='56', f_lp='59', f_lp_lb='39', f_lp_lb_c='17', lb_opt='1', lb_opt_c='1', limit_kern_branch='497', limit_kern_start='29'
388: constrained_branching='1', dom_opt='1', f_clique_lb='61', f_clique_lb_c='10', f_deg2='41', f_deg2_heur='53', f_deg3='6', f_dom='100', f_lp='88', f_lp_lb='50', f_lp_lb_c='9', lb_opt='0', lb_opt_c='0', limit_kern_branch='402', limit_kern_start='92'
389: constrained_branching='0', dom_opt='1', f_clique_lb='77', f_clique_lb_c='6', f_deg2='50', f_deg2_heur='1', f_deg3='99', f_dom='26', f_lp='70', f_lp_lb='55', f_lp_lb_c='9', lb_opt='1', lb_opt_c='1', limit_kern_branch='299', limit_kern_start='207'
390: constrained_branching='1', dom_opt='0', f_clique_lb='54', f_clique_lb_c='15', f_deg2='21', f_deg2_heur='79', f_deg3='27', f_dom='2', f_lp='26', f_lp_lb='39', f_lp_lb_c='2', lb_opt='0', lb_opt_c='1', limit_kern_branch='303', limit_kern_start='71'
391: constrained_branching='0', dom_opt='1', f_clique_lb='7', f_clique_lb_c='7', f_deg2='55', f_deg2_heur='39', f_deg3='61', f_dom='56', f_lp='66', f_lp_lb='39', f_lp_lb_c='18', lb_opt='1', lb_opt_c='0', limit_kern_branch='497', limit_kern_start='29'
392: constrained_branching='0', dom_opt='1', f_clique_lb='75', f_clique_lb_c='3', f_deg2='45', f_deg2_heur='18', f_deg3='68', f_dom='24', f_lp='90', f_lp_lb='17', f_lp_lb_c='19', lb_opt='0', lb_opt_c='0', limit_kern_branch='271', limit_kern_start='360'
393: constrained_branching='0', dom_opt='1', f_clique_lb='6', f_clique_lb_c='7', f_deg2='55', f_deg2_heur='48', f_deg3='61', f_dom='56', f_lp='59', f_lp_lb='39', f_lp_lb_c='17', lb_opt='1', lb_opt_c='1', limit_kern_branch='497', limit_kern_start='29'
394: constrained_branching='1', dom_opt='1', f_clique_lb='4', f_clique_lb_c='8', f_deg2='68', f_deg2_heur='80', f_deg3='100', f_dom='76', f_lp='45', f_lp_lb='35', f_lp_lb_c='19', lb_opt='1', lb_opt_c='1', limit_kern_branch='276', limit_kern_start='117'
395: constrained_branching='1', dom_opt='1', f_clique_lb='57', f_clique_lb_c='7', f_deg2='75', f_deg2_heur='57', f_deg3='56', f_dom='22', f_lp='31', f_lp_lb='6', f_lp_lb_c='13', lb_opt='0', lb_opt_c='0', limit_kern_branch='386', limit_kern_start='222'
396: constrained_branching='0', dom_opt='0', f_clique_lb='35', f_clique_lb_c='17', f_deg2='38', f_deg2_heur='89', f_deg3='83', f_dom='44', f_lp='16', f_lp_lb='63', f_lp_lb_c='3', lb_opt='0', lb_opt_c='0', limit_kern_branch='310', limit_kern_start='69'
397: constrained_branching='1', dom_opt='1', f_clique_lb='17', f_clique_lb_c='8', f_deg2='80', f_deg2_heur='39', f_deg3='38', f_dom='84', f_lp='35', f_lp_lb='39', f_lp_lb_c='17', lb_opt='0', lb_opt_c='1', limit_kern_branch='423', limit_kern_start='46'
398: constrained_branching='0', dom_opt='1', f_clique_lb='35', f_clique_lb_c='17', f_deg2='87', f_deg2_heur='39', f_deg3='99', f_dom='1', f_lp='73', f_lp_lb='23', f_lp_lb_c='3', lb_opt='1', lb_opt_c='0', limit_kern_branch='371', limit_kern_start='384'
399: constrained_branching='0', dom_opt='0', f_clique_lb='69', f_clique_lb_c='5', f_deg2='94', f_deg2_heur='40', f_deg3='5', f_dom='14', f_lp='42', f_lp_lb='44', f_lp_lb_c='11', lb_opt='1', lb_opt_c='0', limit_kern_branch='142', limit_kern_start='269'
400: constrained_branching='0', dom_opt='1', f_clique_lb='60', f_clique_lb_c='19', f_deg2='9', f_deg2_heur='45', f_deg3='57', f_dom='14', f_lp='94', f_lp_lb='63', f_lp_lb_c='12', lb_opt='1', lb_opt_c='1', limit_kern_branch='330', limit_kern_start='372'
401: constrained_branching='1', dom_opt='1', f_clique_lb='1', f_clique_lb_c='7', f_deg2='55', f_deg2_heur='48', f_deg3='61', f_dom='66', f_lp='59', f_lp_lb='39', f_lp_lb_c='20', lb_opt='1', lb_opt_c='0', limit_kern_branch='497', limit_kern_start='29'
402: constrained_branching='0', dom_opt='1', f_clique_lb='27', f_clique_lb_c='12', f_deg2='50', f_deg2_heur='32', f_deg3='58', f_dom='29', f_lp='70', f_lp_lb='96', f_lp_lb_c='12', lb_opt='1', lb_opt_c='0', limit_kern_branch='31', limit_kern_start='475'
403: constrained_branching='0', dom_opt='1', f_clique_lb='32', f_clique_lb_c='2', f_deg2='10', f_deg2_heur='20', f_deg3='82', f_dom='7', f_lp='26', f_lp_lb='41', f_lp_lb_c='14', lb_opt='0', lb_opt_c='0', limit_kern_branch='94', limit_kern_start='275'
404: constrained_branching='0', dom_opt='1', f_clique_lb='6', f_clique_lb_c='7', f_deg2='55', f_deg2_heur='48', f_deg3='61', f_dom='56', f_lp='59', f_lp_lb='39', f_lp_lb_c='17', lb_opt='1', lb_opt_c='1', limit_kern_branch='469', limit_kern_start='29'
405: constrained_branching='1', dom_opt='1', f_clique_lb='74', f_clique_lb_c='5', f_deg2='80', f_deg2_heur='70', f_deg3='94', f_dom='30', f_lp='43', f_lp_lb='32', f_lp_lb_c='11', lb_opt='1', lb_opt_c='1', limit_kern_branch='467', limit_kern_start='100'
406: constrained_branching='1', dom_opt='1', f_clique_lb='53', f_clique_lb_c='9', f_deg2='56', f_deg2_heur='54', f_deg3='44', f_dom='83', f_lp='86', f_lp_lb='15', f_lp_lb_c='3', lb_opt='0', lb_opt_c='0', limit_kern_branch='250', limit_kern_start='294'
407: constrained_branching='1', dom_opt='1', f_clique_lb='11', f_clique_lb_c='7', f_deg2='30', f_deg2_heur='50', f_deg3='85', f_dom='71', f_lp='7', f_lp_lb='78', f_lp_lb_c='13', lb_opt='0', lb_opt_c='0', limit_kern_branch='410', limit_kern_start='118'
408: constrained_branching='1', dom_opt='0', f_clique_lb='43', f_clique_lb_c='17', f_deg2='34', f_deg2_heur='42', f_deg3='72', f_dom='65', f_lp='14', f_lp_lb='59', f_lp_lb_c='14', lb_opt='1', lb_opt_c='1', limit_kern_branch='460', limit_kern_start='37'
409: constrained_branching='0', dom_opt='1', f_clique_lb='48', f_clique_lb_c='15', f_deg2='9', f_deg2_heur='45', f_deg3='57', f_dom='14', f_lp='94', f_lp_lb='63', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='330', limit_kern_start='372'
410: constrained_branching='1', dom_opt='0', f_clique_lb='93', f_clique_lb_c='13', f_deg2='29', f_deg2_heur='72', f_deg3='78', f_dom='82', f_lp='65', f_lp_lb='26', f_lp_lb_c='11', lb_opt='1', lb_opt_c='0', limit_kern_branch='332', limit_kern_start='265'
411: constrained_branching='0', dom_opt='0', f_clique_lb='12', f_clique_lb_c='10', f_deg2='31', f_deg2_heur='15', f_deg3='63', f_dom='3', f_lp='13', f_lp_lb='24', f_lp_lb_c='18', lb_opt='1', lb_opt_c='0', limit_kern_branch='477', limit_kern_start='180'
412: constrained_branching='0', dom_opt='1', f_clique_lb='29', f_clique_lb_c='2', f_deg2='38', f_deg2_heur='28', f_deg3='91', f_dom='47', f_lp='71', f_lp_lb='84', f_lp_lb_c='9', lb_opt='0', lb_opt_c='1', limit_kern_branch='420', limit_kern_start='461'
413: constrained_branching='1', dom_opt='1', f_clique_lb='58', f_clique_lb_c='3', f_deg2='54', f_deg2_heur='50', f_deg3='31', f_dom='15', f_lp='73', f_lp_lb='49', f_lp_lb_c='19', lb_opt='0', lb_opt_c='1', limit_kern_branch='261', limit_kern_start='428'
414: constrained_branching='0', dom_opt='0', f_clique_lb='15', f_clique_lb_c='15', f_deg2='58', f_deg2_heur='90', f_deg3='91', f_dom='98', f_lp='76', f_lp_lb='18', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='102', limit_kern_start='484'
415: constrained_branching='0', dom_opt='0', f_clique_lb='69', f_clique_lb_c='1', f_deg2='94', f_deg2_heur='40', f_deg3='5', f_dom='14', f_lp='52', f_lp_lb='44', f_lp_lb_c='10', lb_opt='1', lb_opt_c='0', limit_kern_branch='63', limit_kern_start='269'
416: constrained_branching='1', dom_opt='0', f_clique_lb='90', f_clique_lb_c='19', f_deg2='97', f_deg2_heur='98', f_deg3='17', f_dom='72', f_lp='16', f_lp_lb='14', f_lp_lb_c='12', lb_opt='0', lb_opt_c='1', limit_kern_branch='453', limit_kern_start='255'
417: constrained_branching='0', dom_opt='1', f_clique_lb='7', f_clique_lb_c='16', f_deg2='38', f_deg2_heur='48', f_deg3='73', f_dom='62', f_lp='59', f_lp_lb='39', f_lp_lb_c='17', lb_opt='0', lb_opt_c='1', limit_kern_branch='497', limit_kern_start='220'
418: constrained_branching='1', dom_opt='1', f_clique_lb='38', f_clique_lb_c='20', f_deg2='87', f_deg2_heur='72', f_deg3='53', f_dom='28', f_lp='22', f_lp_lb='26', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='207', limit_kern_start='405'
419: constrained_branching='0', dom_opt='0', f_clique_lb='34', f_clique_lb_c='1', f_deg2='24', f_deg2_heur='54', f_deg3='4', f_dom='26', f_lp='60', f_lp_lb='65', f_lp_lb_c='20', lb_opt='0', lb_opt_c='0', limit_kern_branch='219', limit_kern_start='345'
420: constrained_branching='0', dom_opt='1', f_clique_lb='7', f_clique_lb_c='9', f_deg2='55', f_deg2_heur='48', f_deg3='61', f_dom='64', f_lp='39', f_lp_lb='39', f_lp_lb_c='18', lb_opt='1', lb_opt_c='1', limit_kern_branch='497', limit_kern_start='29'
421: constrained_branching='0', dom_opt='0', f_clique_lb='19', f_clique_lb_c='8', f_deg2='44', f_deg2_heur='62', f_deg3='2', f_dom='24', f_lp='33', f_lp_lb='88', f_lp_lb_c='3', lb_opt='0', lb_opt_c='0', limit_kern_branch='37', limit_kern_start='320'
422: constrained_branching='1', dom_opt='1', f_clique_lb='36', f_clique_lb_c='14', f_deg2='87', f_deg2_heur='72', f_deg3='44', f_dom='28', f_lp='22', f_lp_lb='26', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='222', limit_kern_start='405'
423: constrained_branching='1', dom_opt='1', f_clique_lb='57', f_clique_lb_c='13', f_deg2='5', f_deg2_heur='77', f_deg3='18', f_dom='60', f_lp='80', f_lp_lb='6', f_lp_lb_c='5', lb_opt='0', lb_opt_c='1', limit_kern_branch='499', limit_kern_start='396'
424: constrained_branching='1', dom_opt='1', f_clique_lb='57', f_clique_lb_c='7', f_deg2='75', f_deg2_heur='57', f_deg3='39', f_dom='22', f_lp='31', f_lp_lb='6', f_lp_lb_c='13', lb_opt='0', lb_opt_c='1', limit_kern_branch='386', limit_kern_start='222'
425: constrained_branching='1', dom_opt='0', f_clique_lb='23', f_clique_lb_c='2', f_deg2='70', f_deg2_heur='16', f_deg3='60', f_dom='66', f_lp='93', f_lp_lb='50', f_lp_lb_c='14', lb_opt='0', lb_opt_c='1', limit_kern_branch='124', limit_kern_start='103'
426: constrained_branching='1', dom_opt='0', f_clique_lb='43', f_clique_lb_c='17', f_deg2='34', f_deg2_heur='42', f_deg3='92', f_dom='65', f_lp='14', f_lp_lb='59', f_lp_lb_c='14', lb_opt='1', lb_opt_c='1', limit_kern_branch='460', limit_kern_start='37'
427: constrained_branching='1', dom_opt='1', f_clique_lb='23', f_clique_lb_c='15', f_deg2='59', f_deg2_heur='85', f_deg3='23', f_dom='24', f_lp='66', f_lp_lb='25', f_lp_lb_c='6', lb_opt='1', lb_opt_c='0', limit_kern_branch='137', limit_kern_start='11'
428: constrained_branching='0', dom_opt='0', f_clique_lb='69', f_clique_lb_c='1', f_deg2='94', f_deg2_heur='40', f_deg3='5', f_dom='14', f_lp='52', f_lp_lb='44', f_lp_lb_c='10', lb_opt='1', lb_opt_c='0', limit_kern_branch='11', limit_kern_start='269'
429: constrained_branching='0', dom_opt='0', f_clique_lb='14', f_clique_lb_c='11', f_deg2='82', f_deg2_heur='47', f_deg3='1', f_dom='7', f_lp='37', f_lp_lb='63', f_lp_lb_c='16', lb_opt='0', lb_opt_c='1', limit_kern_branch='109', limit_kern_start='446'
430: constrained_branching='0', dom_opt='0', f_clique_lb='69', f_clique_lb_c='1', f_deg2='94', f_deg2_heur='40', f_deg3='5', f_dom='14', f_lp='52', f_lp_lb='44', f_lp_lb_c='10', lb_opt='1', lb_opt_c='0', limit_kern_branch='53', limit_kern_start='269'
431: constrained_branching='1', dom_opt='0', f_clique_lb='96', f_clique_lb_c='1', f_deg2='31', f_deg2_heur='95', f_deg3='14', f_dom='11', f_lp='26', f_lp_lb='12', f_lp_lb_c='11', lb_opt='1', lb_opt_c='0', limit_kern_branch='13', limit_kern_start='223'
432: constrained_branching='0', dom_opt='1', f_clique_lb='77', f_clique_lb_c='6', f_deg2='50', f_deg2_heur='1', f_deg3='94', f_dom='26', f_lp='70', f_lp_lb='55', f_lp_lb_c='9', lb_opt='1', lb_opt_c='1', limit_kern_branch='299', limit_kern_start='180'
433: constrained_branching='1', dom_opt='0', f_clique_lb='43', f_clique_lb_c='17', f_deg2='39', f_deg2_heur='42', f_deg3='72', f_dom='65', f_lp='14', f_lp_lb='59', f_lp_lb_c='16', lb_opt='1', lb_opt_c='0', limit_kern_branch='460', limit_kern_start='37'
434: constrained_branching='0', dom_opt='0', f_clique_lb='69', f_clique_lb_c='19', f_deg2='10', f_deg2_heur='52', f_deg3='39', f_dom='83', f_lp='93', f_lp_lb='59', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='468', limit_kern_start='29'
435: constrained_branching='0', dom_opt='0', f_clique_lb='83', f_clique_lb_c='1', f_deg2='94', f_deg2_heur='40', f_deg3='5', f_dom='14', f_lp='52', f_lp_lb='44', f_lp_lb_c='10', lb_opt='1', lb_opt_c='0', limit_kern_branch='142', limit_kern_start='269'
436: constrained_branching='1', dom_opt='1', f_clique_lb='27', f_clique_lb_c='12', f_deg2='41', f_deg2_heur='16', f_deg3='74', f_dom='54', f_lp='92', f_lp_lb='69', f_lp_lb_c='5', lb_opt='0', lb_opt_c='0', limit_kern_branch='477', limit_kern_start='22'
437: constrained_branching='0', dom_opt='1', f_clique_lb='77', f_clique_lb_c='18', f_deg2='50', f_deg2_heur='3', f_deg3='99', f_dom='26', f_lp='70', f_lp_lb='76', f_lp_lb_c='14', lb_opt='1', lb_opt_c='1', limit_kern_branch='175', limit_kern_start='182'
438: constrained_branching='1', dom_opt='1', f_clique_lb='99', f_clique_lb_c='14', f_deg2='17', f_deg2_heur='38', f_deg3='100', f_dom='20', f_lp='89', f_lp_lb='26', f_lp_lb_c='18', lb_opt='0', lb_opt_c='0', limit_kern_branch='452', limit_kern_start='79'
439: constrained_branching='0', dom_opt='1', f_clique_lb='91', f_clique_lb_c='6', f_deg2='78', f_deg2_heur='35', f_deg3='21', f_dom='39', f_lp='67', f_lp_lb='39', f_lp_lb_c='9', lb_opt='1', lb_opt_c='0', limit_kern_branch='473', limit_kern_start='4'
440: constrained_branching='0', dom_opt='0', f_clique_lb='77', f_clique_lb_c='11', f_deg2='47', f_deg2_heur='3', f_deg3='97', f_dom='36', f_lp='70', f_lp_lb='92', f_lp_lb_c='14', lb_opt='1', lb_opt_c='1', limit_kern_branch='299', limit_kern_start='182'
441: constrained_branching='1', dom_opt='0', f_clique_lb='34', f_clique_lb_c='1', f_deg2='98', f_deg2_heur='5', f_deg3='9', f_dom='81', f_lp='69', f_lp_lb='2', f_lp_lb_c='13', lb_opt='1', lb_opt_c='0', limit_kern_branch='425', limit_kern_start='467'
442: constrained_branching='0', dom_opt='0', f_clique_lb='69', f_clique_lb_c='1', f_deg2='94', f_deg2_heur='40', f_deg3='5', f_dom='14', f_lp='52', f_lp_lb='40', f_lp_lb_c='10', lb_opt='1', lb_opt_c='0', limit_kern_branch='22', limit_kern_start='269'
443: constrained_branching='1', dom_opt='1', f_clique_lb='14', f_clique_lb_c='5', f_deg2='32', f_deg2_heur='48', f_deg3='81', f_dom='79', f_lp='74', f_lp_lb='39', f_lp_lb_c='15', lb_opt='0', lb_opt_c='0', limit_kern_branch='459', limit_kern_start='313'
444: constrained_branching='0', dom_opt='1', f_clique_lb='7', f_clique_lb_c='11', f_deg2='37', f_deg2_heur='48', f_deg3='61', f_dom='56', f_lp='59', f_lp_lb='25', f_lp_lb_c='17', lb_opt='1', lb_opt_c='0', limit_kern_branch='497', limit_kern_start='29'
445: constrained_branching='1', dom_opt='0', f_clique_lb='76', f_clique_lb_c='7', f_deg2='38', f_deg2_heur='75', f_deg3='56', f_dom='38', f_lp='31', f_lp_lb='52', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='221', limit_kern_start='328'
446: constrained_branching='1', dom_opt='0', f_clique_lb='15', f_clique_lb_c='5', f_deg2='75', f_deg2_heur='54', f_deg3='19', f_dom='27', f_lp='5', f_lp_lb='45', f_lp_lb_c='3', lb_opt='0', lb_opt_c='1', limit_kern_branch='371', limit_kern_start='447'
447: constrained_branching='0', dom_opt='1', f_clique_lb='77', f_clique_lb_c='6', f_deg2='50', f_deg2_heur='1', f_deg3='99', f_dom='19', f_lp='70', f_lp_lb='55', f_lp_lb_c='9', lb_opt='1', lb_opt_c='1', limit_kern_branch='299', limit_kern_start='207'
448: constrained_branching='1', dom_opt='1', f_clique_lb='36', f_clique_lb_c='13', f_deg2='49', f_deg2_heur='29', f_deg3='6', f_dom='9', f_lp='80', f_lp_lb='5', f_lp_lb_c='13', lb_opt='0', lb_opt_c='0', limit_kern_branch='48', limit_kern_start='45'
449: constrained_branching='0', dom_opt='1', f_clique_lb='77', f_clique_lb_c='6', f_deg2='50', f_deg2_heur='1', f_deg3='94', f_dom='26', f_lp='70', f_lp_lb='55', f_lp_lb_c='9', lb_opt='1', lb_opt_c='1', limit_kern_branch='224', limit_kern_start='180'
450: constrained_branching='1', dom_opt='1', f_clique_lb='37', f_clique_lb_c='7', f_deg2='19', f_deg2_heur='66', f_deg3='69', f_dom='29', f_lp='74', f_lp_lb='13', f_lp_lb_c='2', lb_opt='1', lb_opt_c='0', limit_kern_branch='23', limit_kern_start='303'
