58,1.0,1.0,0.055,0.075,0.125,0.065,0.485,0.505,0.305,0.875,0.925,2.0,1.0,0.005,0.071
59,1.0,1.0,0.475,0.125,0.835,0.695,0.475,0.255,0.025,0.385,0.025,2.0,2.0,0.507,0.435
60,1.0,2.0,0.375,0.475,0.065,0.765,0.395,0.695,0.345,0.875,0.925,1.0,2.0,0.105,0.685
61,2.0,2.0,0.005,0.075,0.195,0.925,0.145,0.045,0.315,0.935,0.075,2.0,2.0,0.059,0.295
62,1.0,1.0,0.045,0.475,0.685,0.325,0.115,0.085,0.665,0.815,0.625,1.0,2.0,0.769,0.419
63,2.0,2.0,0.085,0.325,0.185,0.925,0.825,0.595,0.265,0.115,0.425,1.0,2.0,0.407,0.971
64,2.0,2.0,0.475,0.225,0.525,0.765,0.945,0.695,0.565,0.395,0.175,2.0,1.0,0.339,0.173
65,1.0,1.0,0.005,0.075,0.065,0.735,0.075,0.095,0.315,0.935,0.075,2.0,2.0,0.115,0.295
66,1.0,1.0,0.885,0.175,0.995,0.375,0.485,0.055,0.995,0.465,0.225,1.0,1.0,0.289,0.621
67,2.0,2.0,0.475,0.325,0.225,0.765,0.945,0.695,0.565,0.395,0.175,2.0,1.0,0.589,0.173
68,2.0,1.0,0.095,0.375,0.565,0.035,0.505,0.075,0.015,0.665,0.775,1.0,1.0,0.879,0.151
69,2.0,1.0,0.445,0.125,0.905,0.435,0.675,0.885,0.135,0.085,0.975,2.0,1.0,0.839,0.897
70,2.0,1.0,0.285,0.475,0.645,0.315,0.325,0.185,0.235,0.355,0.925,1.0,2.0,0.747,0.805
71,1.0,2.0,0.675,0.475,0.375,0.225,0.465,0.105,0.265,0.665,0.925,2.0,1.0,0.281,0.783
72,2.0,2.0,0.595,0.325,0.225,0.765,0.945,0.695,0.565,0.165,0.175,2.0,1.0,0.589,0.173
73,2.0,2.0,0.425,0.975,0.465,0.705,0.745,0.355,0.125,0.385,0.275,2.0,1.0,0.345,0.659
74,1.0,2.0,0.675,0.475,0.375,0.225,0.775,0.465,0.265,0.295,0.925,2.0,1.0,0.281,0.783
75,2.0,2.0,0.255,0.075,0.755,0.675,0.875,0.015,0.325,0.055,0.725,1.0,1.0,0.323,0.021
76,1.0,2.0,0.675,0.475,0.375,0.225,0.465,0.145,0.265,0.665,0.925,2.0,1.0,0.281,0.783
77,1.0,2.0,0.465,0.275,0.945,0.575,0.345,0.345,0.495,0.105,0.725,1.0,2.0,0.555,0.737
78,2.0,2.0,0.095,0.375,0.565,0.035,0.855,0.075,0.015,0.665,0.775,2.0,1.0,0.801,0.151
79,1.0,1.0,0.005,0.525,0.485,0.635,0.795,0.665,0.395,0.295,0.975,1.0,2.0,0.707,0.389
80,1.0,2.0,0.675,0.525,0.955,0.225,0.515,0.105,0.415,0.665,0.925,2.0,1.0,0.281,0.783
81,1.0,1.0,0.765,0.525,0.665,0.365,0.985,0.755,0.035,0.405,0.375,1.0,1.0,0.547,0.155
82,2.0,2.0,0.005,0.325,0.185,0.605,0.615,0.295,0.235,0.095,0.425,1.0,2.0,0.131,0.971
83,1.0,1.0,0.395,0.425,0.575,0.925,0.825,0.255,0.945,0.065,0.325,2.0,2.0,0.521,0.243
84,1.0,1.0,0.675,0.475,0.375,0.225,0.775,0.105,0.265,0.665,0.925,2.0,1.0,0.655,0.783
85,2.0,1.0,0.465,0.175,0.155,0.505,0.515,0.655,0.005,0.105,0.775,2.0,1.0,0.015,0.019
86,1.0,2.0,0.095,0.375,0.565,0.035,0.505,0.075,0.015,0.665,0.775,1.0,1.0,0.879,0.151
87,1.0,2.0,0.425,0.875,0.315,0.385,0.565,0.415,0.835,0.945,0.975,1.0,2.0,0.079,0.119
88,2.0,1.0,0.675,0.475,0.375,0.225,0.775,0.105,0.265,0.255,0.925,2.0,1.0,0.655,0.783
89,2.0,1.0,0.685,0.625,0.165,0.715,0.835,0.305,0.645,0.695,0.675,1.0,2.0,0.169,0.347
