54: constrained_branching='1', dom_opt='1', f_clique_lb='98', f_clique_lb_c='9', f_deg2='78', f_deg2_heur='81', f_deg3='90', f_dom='25', f_lp='15', f_lp_lb='27', f_lp_lb_c='15', lb_opt='1', lb_opt_c='0', limit_kern_branch='299', limit_kern_start='334'
55: constrained_branching='0', dom_opt='1', f_clique_lb='1', f_clique_lb_c='2', f_deg2='20', f_deg2_heur='63', f_deg3='1', f_dom='10', f_lp='32', f_lp_lb='93', f_lp_lb_c='1', lb_opt='1', lb_opt_c='1', limit_kern_branch='30', limit_kern_start='148'
56: constrained_branching='0', dom_opt='0', f_clique_lb='32', f_clique_lb_c='7', f_deg2='55', f_deg2_heur='1', f_deg3='68', f_dom='49', f_lp='90', f_lp_lb='17', f_lp_lb_c='4', lb_opt='1', lb_opt_c='1', limit_kern_branch='377', limit_kern_start='86'
57: constrained_branching='1', dom_opt='0', f_clique_lb='45', f_clique_lb_c='9', f_deg2='91', f_deg2_heur='24', f_deg3='24', f_dom='47', f_lp='14', f_lp_lb='23', f_lp_lb_c='20', lb_opt='1', lb_opt_c='1', limit_kern_branch='340', limit_kern_start='429'
58: constrained_branching='0', dom_opt='0', f_clique_lb='6', f_clique_lb_c='2', f_deg2='13', f_deg2_heur='7', f_deg3='49', f_dom='51', f_lp='31', f_lp_lb='88', f_lp_lb_c='19', lb_opt='1', lb_opt_c='0', limit_kern_branch='3', limit_kern_start='36'
59: constrained_branching='0', dom_opt='0', f_clique_lb='48', f_clique_lb_c='3', f_deg2='84', f_deg2_heur='70', f_deg3='48', f_dom='26', f_lp='3', f_lp_lb='39', f_lp_lb_c='1', lb_opt='1', lb_opt_c='1', limit_kern_branch='254', limit_kern_start='218'
60: constrained_branching='0', dom_opt='1', f_clique_lb='38', f_clique_lb_c='10', f_deg2='7', f_deg2_heur='77', f_deg3='40', f_dom='70', f_lp='35', f_lp_lb='88', f_lp_lb_c='19', lb_opt='0', lb_opt_c='1', limit_kern_branch='53', limit_kern_start='343'
61: constrained_branching='1', dom_opt='1', f_clique_lb='1', f_clique_lb_c='2', f_deg2='20', f_deg2_heur='93', f_deg3='15', f_dom='5', f_lp='32', f_lp_lb='94', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='30', limit_kern_start='148'
62: constrained_branching='0', dom_opt='0', f_clique_lb='5', f_clique_lb_c='10', f_deg2='69', f_deg2_heur='33', f_deg3='12', f_dom='9', f_lp='67', f_lp_lb='82', f_lp_lb_c='13', lb_opt='0', lb_opt_c='1', limit_kern_branch='385', limit_kern_start='210'
63: constrained_branching='1', dom_opt='1', f_clique_lb='9', f_clique_lb_c='7', f_deg2='19', f_deg2_heur='93', f_deg3='83', f_dom='60', f_lp='27', f_lp_lb='12', f_lp_lb_c='9', lb_opt='0', lb_opt_c='1', limit_kern_branch='204', limit_kern_start='486'
64: constrained_branching='1', dom_opt='1', f_clique_lb='48', f_clique_lb_c='5', f_deg2='53', f_deg2_heur='77', f_deg3='95', f_dom='70', f_lp='57', f_lp_lb='40', f_lp_lb_c='4', lb_opt='1', lb_opt_c='0', limit_kern_branch='170', limit_kern_start='87'
65: constrained_branching='0', dom_opt='0', f_clique_lb='1', f_clique_lb_c='2', f_deg2='7', f_deg2_heur='74', f_deg3='8', f_dom='10', f_lp='32', f_lp_lb='94', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='58', limit_kern_start='148'
66: constrained_branching='0', dom_opt='0', f_clique_lb='89', f_clique_lb_c='4', f_deg2='100', f_deg2_heur='38', f_deg3='49', f_dom='6', f_lp='100', f_lp_lb='47', f_lp_lb_c='5', lb_opt='0', lb_opt_c='0', limit_kern_branch='145', limit_kern_start='311'
67: constrained_branching='1', dom_opt='1', f_clique_lb='48', f_clique_lb_c='7', f_deg2='23', f_deg2_heur='77', f_deg3='95', f_dom='70', f_lp='57', f_lp_lb='40', f_lp_lb_c='4', lb_opt='1', lb_opt_c='0', limit_kern_branch='295', limit_kern_start='87'
68: constrained_branching='1', dom_opt='0', f_clique_lb='10', f_clique_lb_c='8', f_deg2='57', f_deg2_heur='4', f_deg3='51', f_dom='8', f_lp='2', f_lp_lb='67', f_lp_lb_c='16', lb_opt='0', lb_opt_c='0', limit_kern_branch='440', limit_kern_start='76'
69: constrained_branching='1', dom_opt='0', f_clique_lb='45', f_clique_lb_c='3', f_deg2='91', f_deg2_heur='44', f_deg3='68', f_dom='89', f_lp='14', f_lp_lb='9', f_lp_lb_c='20', lb_opt='1', lb_opt_c='0', limit_kern_branch='420', limit_kern_start='449'
70: constrained_branching='1', dom_opt='0', f_clique_lb='29', f_clique_lb_c='10', f_deg2='65', f_deg2_heur='32', f_deg3='33', f_dom='19', f_lp='24', f_lp_lb='36', f_lp_lb_c='19', lb_opt='0', lb_opt_c='1', limit_kern_branch='374', limit_kern_start='403'
71: constrained_branching='0', dom_opt='1', f_clique_lb='68', f_clique_lb_c='10', f_deg2='38', f_deg2_heur='23', f_deg3='47', f_dom='11', f_lp='27', f_lp_lb='67', f_lp_lb_c='19', lb_opt='1', lb_opt_c='0', limit_kern_branch='141', limit_kern_start='392'
