file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree two rules,domination rules,lower_bounds,finished,solution_size_verified
snap/soc-Epinions1.txt.dimacs,35.38s,22280,7,125,0,226,0,146,458,83,1,1,correct
snap/soc-Slashdot0811.txt.dimacs,41.12s,24046,6,24,0,76,0,42,251,16,1,1,correct
snap/soc-sign-epinions.txt.dimacs,135.92s,28184,7,30,0,123,0,101,203,24,1,1,correct
snap/soc-Slashdot0902.txt.dimacs,43.82s,25770,3,46,1,548,0,442,574,32,1,1,correct
snap/loc-gowalla_edges.txt.dimacs,s,0,,0
snap/amazon0302.txt.dimacs,s,0,,0
snap/com-amazon.ungraph.txt.dimacs,s,0,,0
snap/com-dblp.ungraph.txt.dimacs,s,0,,0
snap/web-NotreDame.txt.dimacs,s,0,,0
snap/twitter_combined.txt.dimacs,s,0,,0
snap/roadNet-PA.txt.dimacs,s,0,,0
snap/web-Stanford.txt.dimacs,s,0,,0
snap/roadNet-TX.txt.dimacs,s,0,,0
